Crate,Features,Feature dependencies,Configurations,Default only configurations,Unique configurations,Estimated number of configurations (flat),Estimated number of configurations (FCA),Configuration number (flat),Configuration number (FCA),FCA Quality
tokio@1.48.0,27,35,988,28,132,12939264,184320,1197576,40736,0.865990990990991
clap@4.5.51,22,10,911,12,41,1376256,11456,698880,3520,0.9670731707317073
serde@1.0.228,7,2,999,68,10,72,20,72,16,0.9844444444444445
serde_json@1.0.145,9,3,996,926,12,288,48,256,48,0.9832775919732442
syn@2.0.108,13,6,826,141,33,4096,94,3136,82,0.9744623655913979
winnow@0.7.13,12,12,794,559,7,1152,640,430,640,0.9986013986013986
url@2.5.7,5,2,986,966,3,16,8,16,8,1
nom@8.0.0,4,2,526,483,4,12,4,8,4,0.9620253164556962
wasi@0.14.7+wasi-0.2.4,3,0,152,146,2,8,4,8,4,0.9562043795620438
hashbrown@0.16.0,14,10,361,160,19,6144,1408,3332,832,0.8276923076923077
hyper@1.7.0,23,21,767,225,24,1327104,4608,247040,2624,0.9826338639652678
