Crate,Estimated number of configurations (flat),Estimated number of configurations (fca),Configuration number (flat),Configuration number (fca)
tokio@1.48.0,13934592,663552,1197576,246112
clap@4.5.51,3538944,35456,698890,5952
serde@1.0.228,108,48,75,30
serde_json@1.0.145,576,112,384,35
syn@2.0.108,9216,1176,7008,400
winnow@0.7.13,1728,640,430,576
url@2.5.7,128,8,72,8
nom@8.0.0,16,8,12,8
wasi@0.14.7+wasi-0.2.4,12,8,9,8
hashbrown@0.16.0,9216,4608,4900,1632
hyper@1.7.0,1327104,3072,247040,2112
