Crate,Features,Feature dependencies,Configurations,Default only configurations,Unique configurations,Estimated number of configurations (flat),Estimated number of configurations (FCA),Configuration number (flat),Configuration number (FCA),FCA Quality
addr2line@0.25.1,18,20,54,32,4,36864,8420,,,
adler@1.0.2,5,3,120,105,2,18,15,8,8,0.8703703703703703
adler2@2.0.1,4,2,12,1,2,9,9,,,
aes@0.9.0-rc.2,3,0,34,23,4,8,8,,,
ahash@0.8.12,11,5,955,713,10,576,504,224,112,0.9976744186046511
aho-corasick@1.1.4,6,4,994,885,5,24,21,4,4,0.9977653631284916
allocator-api2@0.3.1,5,2,104,36,3,24,16,12,12,1
ansi_term@0.12.1,3,1,988,983,2,6,6,4,4,0.9943820224719101
anstream@0.6.21,6,4,978,902,5,24,20,4,4,0.9682179341657208
anstyle@1.0.13,2,1,999,973,3,3,3,2,2,0.9922222222222222
anstyle-parse@0.2.7,5,3,63,63,1,12,12,,,
anyhow@1.0.100,3,1,999,961,5,6,6,2,2,0.9744444444444444
arc-swap@1.7.1,6,0,1000,965,3,64,64,32,32,0.9733333333333334
arrayvec@0.7.6,5,1,993,622,6,24,24,16,16,0.9932885906040269
async-channel@2.5.0,4,2,776,725,3,9,9,12,12,1
async-lock@3.4.1,3,1,818,789,3,6,6,4,4,0.9918588873812755
axum@0.8.7,30,32,763,364,33,39191040,5556510,1600,1344,0.9708879184861717
axum-core@0.5.5,4,1,399,339,2,12,12,16,16,1
backtrace@0.3.76,13,2,976,925,7,4608,4608,3072,2560,0.9920364050056882
base64@0.22.1,3,2,844,828,4,6,4,2,2,0.9868421052631579
base64ct@1.8.0,3,1,871,239,6,8,6,6,6,1
bincode@2.0.1,6,4,330,110,9,32,20,3,3,0.8686868686868687
bindgen@0.72.1,14,7,91,87,4,5184,3120,,,
bit-set@0.8.0,3,1,435,400,2,6,6,4,4,1
bit-vec@0.8.0,9,5,632,548,3,180,156,128,128,0.8681898066783831
bitflags@2.10.0,7,1,953,733,8,96,96,40,32,0.958041958041958
bitvec@1.0.1,6,3,983,738,8,48,28,8,8,0.9830508474576272
brotli@8.0.2,18,3,673,589,7,98304,98304,65536,65536,0.9917491749174917
bstr@1.12.1,6,4,990,527,7,32,20,5,5,0.9854096520763187
bumpalo@3.19.0,8,1,998,262,15,256,192,72,40,0.9777530589543938
bytemuck@1.24.0,27,20,998,462,20,67108864,28311744,27262976,20971520,0.9543937708565072
byteorder@1.5.0,3,1,998,865,4,6,6,4,4,1
bytes@1.11.0,4,1,1000,891,5,12,12,8,8,0.9988888888888889
cast@0.3.0,2,0,510,382,3,4,4,3,3,1
cc@1.2.47,4,2,963,698,3,12,10,3,3,1
cfg-if@1.0.4,3,1,995,971,2,6,6,8,8,1
chrono@0.4.42,24,16,997,362,15,2211840,433728,12288,12288,0.9587973273942093
cipher@0.5.0-rc.2,10,2,98,82,4,576,576,,,
clang-sys@1.9.0,25,20,297,82,11,270336,504,28,28,0.4253731343283582
clap@4.5.53,22,10,990,22,42,1376256,698880,3840,2816,0.8855218855218855
clap_builder@4.5.53,24,22,166,39,7,1179648,293058,6144,5120,0.7
clap_derive@4.5.49,8,4,845,845,1,192,100,128,128,1
combine@4.6.7,19,24,828,718,3,55296,11144,65536,65536,0.9745308310991957
concurrent-queue@2.5.0,4,1,380,240,5,12,12,12,10,0.9649122807017544
console@0.16.1,8,7,634,568,8,144,56,3,3,0.9649737302977233
const-oid@0.10.1,3,0,71,22,4,8,8,,,
constant_time_eq@0.4.2,3,1,82,74,2,6,6,,,
core-foundation@0.10.1,6,2,768,712,4,36,36,16,16,0.9812138728323699
core-foundation-sys@0.8.7,4,1,624,615,2,12,12,4,4,0.9857651245551602
crc32fast@1.5.0,3,1,999,923,4,6,6,3,3,0.9977777777777778
criterion@0.7.0,18,18,198,127,7,31104,6714,4096,2048,0.8268156424581006
crossbeam-channel@0.5.15,2,1,1000,973,3,3,3,2,2,0.9966666666666667
crossbeam-deque@0.8.6,2,1,558,550,2,3,3,2,2,1
crossbeam-epoch@0.9.18,6,3,382,330,3,36,24,8,8,0.8604651162790697
crossbeam-queue@0.3.12,4,2,992,910,4,12,8,6,6,1
crossbeam-utils@0.8.21,4,1,997,922,3,12,12,8,8,0.9955456570155902
crunchy@0.2.4,8,1,270,187,5,192,192,64,64,0.823045267489712
crypto-common@0.1.7,4,1,370,186,6,12,12,12,10,1
csv-core@0.1.13,2,0,475,475,1,4,4,2,2,1
darling@0.21.3,4,1,538,499,4,12,12,8,8,0.9958762886597938
darling_core@0.21.3,5,1,2,2,1,24,24,,,
dashmap@7.0.0-rc2,8,5,5,5,1,192,132,,,
data-encoding@2.9.0,3,2,997,897,4,6,4,4,4,1
