Crate,Estimated number of configurations (flat),Estimated number of configurations (fca),Configuration number (flat),Configuration number (fca)
tokio@1.48.0,13934592,663552,0,0
clap@4.5.51,3538944,35456,0,0
serde@1.0.228,108,48,0,0
serde_json@1.0.145,576,112,0,0
syn@2.0.108,9216,1176,0,0
winnow@0.7.13,1728,640,0,0
url@2.5.7,128,8,0,0
nom@8.0.0,16,8,0,0
wasi@0.14.7+wasi-0.2.4,12,8,0,0
hashbrown@0.16.0,9216,4608,0,0
hyper@1.7.0,1327104,3072,0,0
