Crate,Features,Feature dependencies,Configurations,Default only configurations,Unique configurations,Estimated number of configurations (flat),Estimated number of configurations (FCA),Configuration number (flat),Configuration number (FCA),FCA Quality
tokio@1.48.0,27,35,198,6,53,12939264,184320,1197576,40736,0.8686868686868687
clap@4.5.51,22,10,198,5,23,1376256,11456,698880,3520,0.9797979797979798
serde@1.0.228,7,2,200,48,7,72,20,72,16,1
serde_json@1.0.145,9,3,200,174,9,288,48,256,48,0.95
syn@2.0.108,13,6,179,47,19,4096,94,3136,82,0.9555555555555556
winnow@0.7.13,12,12,184,121,5,1152,640,430,640,1
url@2.5.7,5,2,199,194,2,16,8,16,8,1
nom@8.0.0,4,2,109,91,3,12,4,8,4,0.7636363636363637
wasi@0.14.7+wasi-0.2.4,3,0,124,118,2,8,4,8,4,0.9032258064516129
hashbrown@0.16.0,14,10,102,38,14,6144,1408,3332,832,0.9803921568627451
hyper@1.7.0,23,21,155,51,15,1327104,4608,247040,2624,1
